26;080300027;8;|0810188|0810188|0810188|0810188|0810188|0810188|0810188|0810188|0810188|0810188|0810188|0810188;;;800;1056;4;349;479;1;320;18;3;299;29;3;26
24;080300028;8;|0800086|0800086|0800086|0800086|0800086|0800086|0800086;;;300;157;5;89;110;1;89;2;2;85;;;
24;080300029;8;|0800085|0800085|0800085|0800085|0800085|0800085|0800085;;;200;0;0;0;0;0;0;0;0;50;;;
26;080300030;8;|0810187|0810187|0810187|0810187|0810187|0810187|0810187|0810187|0810187|0810187|0810187|0810187;;;500;492;7;153;345;1;153;4;4;145;0;0;0
24;080300031;8;|0800081|0800081|0800081|0800081|0800081|0800081|0800081;;;100;33;14;30;69;1;30;2;5;23;;;
26;080300032;8;|0810186|0810186|0810186|0810186|0810186|0810186|0810186|0810186|0810186|0810186|0810186|0810186;;;600;795;5;314;341340;1;259;5;3;251;5;;57
26;080300033;8;|0810185|0810185|0810185|0810185|0810185|0810185|0810185|0810185|0810185|0810185|0810185|0810185;;;400;354;5;154;245;1;154;5;1;148;0;0;0
24;080300034;8;|0800084|0800084|0800084|0800084|0800084|0800084|0800084;;;100;62;6;42;57;1;42;3;0;0;;;
24;080300035;8;|0800083|0800083|0800083|0800083|0800083|0800083|0800083;;;100;35;6;19;80;1;19;3;0;16;;;
24;080300036;8;|0800082|0800082|0800082|0800082|0800082|0800082|0800082;;;300;240;4;134;165;1;134;4;3;127;;;
26;091400018;9;|0910104|0910104|0910104|0910104|0910104|0910104|0910104|0910104|0910104|0910104|0910104|0910104;;;400;1064;1;288;181;2;217;14;1;202;70;2;68
26;104800071;10;|1010141|1010141|1010141|1010141|1010141|1010141|1010141|1010141|1010141|1010141|1010141|1010141;;;400;357;0;116;321;1;78;2;3;73;38;3;35
26;111800001;11;|1110001|1110001|1110001|1110001|1110001|1110001|1110001|1110001|1110001|1110001|1110001|1110001;;;500;695;9;205;356;1;143;3;2;138;62;2;60
24;121400011;12;|1200062|1200062|1200062|1200062|1200062|1200062|1200062;;;200;149;7;97;102;1;97;2;0;95;;;
26;151000027;15;|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057|1510057;;;500;570;2;198;33;1;160;6;4;150;38;0;38
26;162202040;16;|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140|1610140;;;800;772;14;160;639;1;160;25;2;133;0;0;0
26;162202047;16;|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147|1610147;;;600;602;6;67;538;1;65;8;1;;2;0;2
