section,type,field,party,candidate,got,expected,comment
111800001,preferences,candidate,8,108,total=1 paper=0 machine=1,total=4 paper=3 machine=1,high_prob_ocr: single digit confusion
111800001,preferences,candidate,8,Без,total=0 paper=0 machine=0,total=23 paper=22 machine=1,likely_ocr: value missed (read as 0/empty)
111800001,preferences,candidate,9,Без,total=0 paper=0 machine=0,total=1 paper=0 machine=1,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,18,101,total=0 paper=0 machine=0,total=8 paper=8 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,18,102,total=2 paper=2 machine=0,total=1 paper=1 machine=0,likely_ocr: single digit differs
121400011,preferences,candidate,18,103,total=1 paper=1 machine=0,total=4 paper=4 machine=0,high_prob_ocr: single digit confusion
121400011,preferences,candidate,18,104,total=4 paper=4 machine=0,total=3 paper=3 machine=0,likely_ocr: single digit differs
121400011,preferences,candidate,18,105,total=3 paper=3 machine=0,total=1 paper=1 machine=0,likely_ocr: single digit differs
121400011,preferences,candidate,18,106,total=1 paper=1 machine=0,total=3 paper=3 machine=0,likely_ocr: single digit differs
121400011,preferences,candidate,18,107,total=3 paper=3 machine=0,total=1 paper=1 machine=0,likely_ocr: single digit differs
121400011,preferences,candidate,18,108,total=1 paper=1 machine=0,total=0 paper=0 machine=0,likely_ocr: phantom value (should be 0)
121400011,preferences,candidate,18,Без,total=0 paper=0 machine=0,total=32 paper=32 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,19,Без,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,26,101,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,26,102,total=1 paper=1 machine=0,total=0 paper=0 machine=0,likely_ocr: phantom value (should be 0)
121400011,preferences,candidate,26,105,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,26,106,total=2 paper=2 machine=0,total=0 paper=0 machine=0,likely_ocr: phantom value (should be 0)
121400011,preferences,candidate,26,Без,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,27,Без,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,28,102,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
121400011,preferences,candidate,28,103,total=1 paper=1 machine=0,total=0 paper=0 machine=0,likely_ocr: phantom value (should be 0)
121400011,preferences,candidate,28,Без,total=0 paper=0 machine=0,total=3 paper=3 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,protocol,unused_ballots,,,33,339,unknown_cause
151000027,preferences,candidate,7,104,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,preferences,candidate,7,105,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,preferences,candidate,8,102,total=0 paper=0 machine=0,total=16 paper=16 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,preferences,candidate,8,103,total=1 paper=0 machine=1,total=35 paper=34 machine=1,unknown_cause
151000027,preferences,candidate,8,104,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,preferences,candidate,8,106,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,preferences,candidate,8,108,total=3 paper=0 machine=3,total=6 paper=3 machine=3,likely_ocr: single digit differs
151000027,preferences,candidate,8,110,total=0 paper=0 machine=0,total=20 paper=20 machine=0,likely_ocr: value missed (read as 0/empty)
151000027,preferences,candidate,8,113,total=6 paper=6 machine=0,total=4 paper=4 machine=0,likely_ocr: single digit differs
151000027,preferences,candidate,8,Без,total=0 paper=0 machine=0,total=6 paper=6 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,5,Без,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,7,103,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,7,Без,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,8,102,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,8,103,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,8,105,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,8,108,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,8,Без,total=0 paper=0 machine=0,total=4 paper=4 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,12,101,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,12,Без,total=0 paper=0 machine=0,total=3 paper=3 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,13,102,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,13,113,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,13,123,MISSING,total=0 paper=0 machine=0,missing_data
162202040,preferences,candidate,13,124,MISSING,total=0 paper=0 machine=0,missing_data
162202040,preferences,candidate,13,Без,total=0 paper=0 machine=0,total=18 paper=18 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,17,103,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,17,113,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,17,Без,total=0 paper=0 machine=0,total=6 paper=6 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,18,103,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
