26;010100001;2;Без;0;0;0
26;010100001;2;101;0;0;0
26;010100001;2;102;0;0;0
26;010100001;2;103;0;0;0
26;010100001;2;104;0;0;0
26;010100001;2;105;0;0;0
26;010100001;2;106;0;0;0
26;010100001;2;107;0;0;0
26;010100001;2;108;0;0;0
26;010100001;2;109;0;0;0
26;010100001;2;110;0;0;0
26;010100001;2;111;0;0;0
26;010100001;2;112;0;0;0
26;010100001;2;113;0;0;0
26;010100001;2;114;0;0;0
26;010100001;2;115;0;0;0
26;010100001;2;116;0;0;0
26;010100001;2;117;0;0;0
26;010100001;2;118;0;0;0
26;010100001;2;119;0;0;0
26;010100001;2;120;0;0;0
26;010100001;2;121;0;0;0
26;010100001;2;122;0;0;0
26;010100001;4;Без;5;3;2
26;010100001;4;101;1;1;0
26;010100001;4;102;1;1;0
26;010100001;4;103;0;0;0
26;010100001;4;104;0;0;0
26;010100001;4;105;3;2;1
26;010100001;4;106;0;0;0
26;010100001;4;107;0;0;0
26;010100001;4;108;1;1;0
26;010100001;4;109;0;0;0
26;010100001;4;110;0;0;0
26;010100001;4;111;0;0;0
26;010100001;4;112;0;0;0
26;010100001;4;113;0;0;0
26;010100001;4;114;0;0;0
26;010100001;4;115;0;0;0
26;010100001;4;116;0;0;0
26;010100001;4;117;0;0;0
26;010100001;4;118;0;0;0
26;010100001;4;119;0;0;0
26;010100001;4;120;0;0;0
26;010100001;4;121;0;0;0
26;010100001;4;122;0;0;0
26;010100001;5;Без;0;0;0
26;010100001;5;101;0;0;0
26;010100001;5;102;0;0;0
26;010100001;5;103;0;0;0
26;010100001;5;104;0;0;0
26;010100001;5;105;0;0;0
26;010100001;5;106;0;0;0
26;010100001;5;107;0;0;0
26;010100001;5;108;0;0;0
26;010100001;5;109;0;0;0
26;010100001;5;110;0;0;0
26;010100001;5;111;0;0;0
26;010100001;5;112;0;0;0
26;010100001;5;113;0;0;0
26;010100001;5;114;0;0;0
26;010100001;5;115;0;0;0
26;010100001;5;116;0;0;0
26;010100001;5;117;0;0;0
26;010100001;5;118;0;0;0
26;010100001;5;119;0;0;0
26;010100001;5;120;0;0;0
26;010100001;5;121;0;0;0
26;010100001;5;122;0;0;0
26;010100001;6;Без;1;0;1
26;010100001;6;101;0;0;0
26;010100001;6;102;0;0;0
26;010100001;6;103;0;0;0
26;010100001;6;104;0;0;0
26;010100001;6;105;0;0;0
26;010100001;6;106;0;0;0
26;010100001;6;107;0;0;0
26;010100001;6;108;0;0;0
26;010100001;6;109;0;0;0
26;010100001;6;110;0;0;0
26;010100001;6;111;0;0;0
26;010100001;6;112;0;0;0
26;010100001;6;113;0;0;0
26;010100001;6;114;0;0;0
26;010100001;6;115;0;0;0
26;010100001;6;116;0;0;0
26;010100001;6;117;0;0;0
26;010100001;6;118;0;0;0
26;010100001;6;119;0;0;0
26;010100001;6;120;0;0;0
26;010100001;6;121;0;0;0
26;010100001;6;122;0;0;0
26;010100001;7;Без;7;0;7
26;010100001;7;101;1;0;1
26;010100001;7;102;2;0;2
26;010100001;7;103;1;1;0
26;010100001;7;104;1;1;0
26;010100001;7;105;0;0;0
26;010100001;7;106;1;0;1
26;010100001;7;107;1;1;0
26;010100001;7;108;0;0;0
26;010100001;7;109;0;0;0
26;010100001;7;110;0;0;0
26;010100001;7;111;2;1;1
26;010100001;7;112;0;0;0
26;010100001;7;113;0;0;0
26;010100001;7;114;0;0;0
26;010100001;7;115;0;0;0
